Region,Harvest,Reef,Height,Dist,Slope,Length,Collection,Clump,Live,Oys,Barn,Mus,Clam,Total.Other,Total,Cultch
Salt Run,Y,SR37,0.46,6.75,0.07,10,W16SR37R7,6,19,21,4,0,1,5,26,358.97
Matanzas River,N,FM788,0.89,3.95,0.23,8,W16FM788R4,11,22,95,50,0,0,50,145,502.85
Matanzas River,N,FM26,0.31,4.5,0.07,17,W16FM26R2,16,37,91,0,1,5,6,97,665.63
Salt Run,Y,SR37,0.46,6.75,0.07,10,W16SR37R9,7,30,39,4,0,0,4,43,1137.96
Salt Run,Y,SR30,0.41,3.4,0.12,21,W16SR30R10,6,22,34,6,0,0,6,40,1283.3
Matanzas River,N,FM788,0.89,3.95,0.23,8,W16FM788R2,10,31,74,28,5,0,33,107,1308
Salt Run,Y,SR66,0.34,8.3,0.04,25,W16SR66R11,13,15,47,10,0,0,10,57,1418.46
Salt Run,Y,SR30,0.41,3.4,0.12,21,W16SR30R8,6,35,24,1,0,0,1,25,1527.82
Salt Run,Y,SR30,0.41,3.4,0.12,21,W16SR30R13,13,24,42,1,0,0,1,43,1744.73
Matanzas River,N,FM26,0.31,4.5,0.07,17,W16FM26R13,19,35,132,9,3,2,14,146,2018.32
Matanzas River,N,FM788,0.89,3.95,0.23,8,W16FM788R5,13,26,110,26,2,0,28,140,2030.31
Matanzas River,Y,FM84,1.22,7.9,0.15,22,W16FM84R15,27,24,84,3,5,0,8,92,2921.21
Matanzas River,N,FM26,0.31,4.5,0.07,17,W16FM26R7,12,30,117,7,2,7,16,133,3016.04
Salt Run,Y,SR37,0.46,6.75,0.07,10,W16SR37R1,2,29,40,0,0,0,0,40,3016.04
Salt Run,Y,SR66,0.34,8.3,0.04,25,W16SR66R24,6,13,49,6,3,0,9,58,3119.59
Salt Run,Y,SR66,0.34,8.3,0.04,25,W16SR66R6,12,23,59,4,7,0,11,70,3362.3
Salt Run,N,SR55,0.55,1.3,0.42,18,W16SR55R5,5,38,36,18,,0,18,54,3918.93
Matanzas River,Y,FM84,1.22,7.9,0.15,22,W16FM84R5,15,27,58,2,5,4,11,69,4114.04
Salt Run,N,SR57,0.56,2.4,0.23,13,W16SR57R6,10,37,70,135,2,0,137,207,4288.44
Salt Run,N,SR56,0.69,3.2,0.22,17,W16SR56R14,21,53,89,77,0,0,77,171,4291.71
Matanzas River,N,FM655,0.84,8.4,0.1,20,W16FM655R17,19,27,159,7,4,1,12,171,4595.82
Matanzas River,Y,FM46,1.22,7.62,0.16,37,W16FM46R18,25,28,47,0,2,0,2,49,4808.73
Matanzas River,Y,FM46,1.22,7.62,0.16,37,W16FM46R30,15,19,70,4,4,1,9,79,4948.62
Matanzas River,Y,FM604,0.7,11.5,0.06,24,W16FM604R2,24,25,164,4,11,10,25,189,5304.68
Salt Run,N,SR57,0.56,2.4,0.23,13,W16SR57R12,15,44,66,35,3,1,39,105,5862.04
Matanzas River,N,FM655,0.84,8.4,0.1,20,W16FM655R13,19,47,277,41,23,14,78,356,6361.26
Matanzas River,Y,FM604,0.7,11.5,0.06,24,W16FM604R9,13,30,163,6,16,6,28,194,6655.56
Matanzas River,N,FM655,0.84,8.4,0.1,20,W16FM655R10,26,45,180,17,23,2,42,224,6698.43
Matanzas River,Y,FM46,1.22,7.62,0.16,37,W16FM46R4,29,36,116,1,7,2,10,126,6706.43
Matanzas River,Y,FM84,1.22,7.9,0.15,22,W16FM84R2,15,42,156,25,36,1,62,219,6745.3
Salt Run,N,SR55,0.55,1.3,0.42,18,W16SR55R11,7,48,45,116,,0,116,161,6902.26
Salt Run,N,SR55,0.55,1.3,0.42,18,W16SR55R9,6,32,51,156,,0,156,213,7155.15
Matanzas River,Y,FM604,0.7,11.5,0.06,24,W16FM604R1,12,28,243,13,62,16,91,337,8448.62
Salt Run,N,SR57,0.56,2.4,0.23,13,W16SR57R8,14,52,77,244,0,0,244,321,10037.84
Salt Run,N,SR56,0.69,3.2,0.22,17,W16SR56R5,19,51,212,104,17,2,123,373,11147.83
Salt Run,N,SR56,0.69,3.2,0.22,17,W16SR56R9,14,55,220,201,19,0,220,481,14579.16
